Date,Text
2022-12-31,"Load-shedding update - 31 December 

City customers
31 December 
Stage 0 (no load-shedding): 16:00 - 22:00
Stage 2: 22:00 - 05:00

1 January 
Stage 2: 05:00 - 05:00

2 January 
Stage 1: 05:00 - 22:00
Stage 2: 22:00 - 05:00

Eskom Stage 2 active. 

Updates to follow. 

#CTInfo"
2023-01-02,"Load-shedding update - 2 January 

City customers
2 January 
Stage 1: under way until 22:00
Stage 2: 22:00 - 05:00

3 January
Stage 1: 05:00 - 22:00
Stage 2: 22:00 - 05:00

Updates to follow. 
Subject to rapid change. Eskom Stage 2 active. 

#CTInfo"
2023-01-03,"Load-shedding update - 3 January 

3 January
Stage 1: 05:00 - 22:00
Stage 2: 22:00 - 05:00

4 January 
Stage 1: 05:00 - 22:00
Stage 2: 22:00 - 05:00

5 January 
Stage 1: 05:00 - 22:00
Stage 2: 22:00 - 05:00

6 January 
Stage 1: 05:00 - 22:00
Stage 2: 22:00 - 05:00

#CTInfo"
2023-01-04,"Load-shedding update - 4 January 

Eskom moves to Stage 3 load-shedding from 16:00. 

City customers 4 January 
Stage 1: 05:00 - 16:00
Stage 2: 16:00 - 22:00
Stage 3: 22:00 - 05:00

5 January 
Stage 2: 05:00 - 22:00
Stage 3: 22:00 - 05:00

#CTInfo"
2023-01-05,"Load-shedding update - 5 January 

City customers

5 January 
Stage 2: under way until 16:00
Stage 3: 16:00 - 22:00
Stage 4: 22:00 - 05:00

6 January 
Stage 2: 05:00 - 16:00
Stage 3: 16:00 - 22:00
Stage 4: 22:00 - 05:00

Updates to follow. 

#CTInfo"
2023-01-06,"Load-shedding update - 6 January 

City customers
6 January 
Stage 2: 05:00 - 16:00
Stage 3: 16:00 - 22:00
Stage 4: 22:00 - 05:00

7 January 
Stage 2: 05:00 - 16:00
Stage 4: 16:00 - 05:00

Updates to follow. 
Subject to rapid change.

#CTInfo"
2023-01-07,"Load-shedding update - 7 January 

City customers
7 January 
Stage 2: 05:00 - 16:00
Stage 4: 16:00 - 05:00

8 January 
Stage 3: 05:00 - 16:00
Stage 4: 16:00 - 05:00

Updates to follow. 
Subject to rapid change.

#CTInfo"
2023-01-08,"Load-shedding update - 8 January 

City customers
8 January 
Stage 3: 05:00 - 16:00
Stage 4: 16:00 - 05:00

9 January 
Stage 2: 05:00 - 16:00
Stage 3: 16:00 - 22:00 
Stage 4: 22:00 - 05:00

10 January 
Stage 2: 05:00 - 16:00
Stage 3: 16:00 - 22:00 
Stage 4: 22:00 - 05:00"
2023-01-10,"Urgent load-shedding update - 10 January 

Eskom moves to Stage 6 from 21:00.

City customers
10 January 
Stage 6: 21:00 - 05:00

11 January 
Stage 3: 05:00 - 16:00
Stage 5: 16:00 - 22:00 
Stage 6: 22:00 - 05:00"
2023-01-11,"Urgent load-shedding update - 11 January 

Eskom moves to Stage 6 from 16:00.

City customers
11 January 
Stage 5: 16:00 - 22:00 
Stage 6: 22:00 - 05:00

12 January 
Stage 5: 05:00 - 22:00
Stage 6: 22:00 - 05:00"
